name,parent,representation,view,model,balance,top_k,ranking,correlation_limit,pca,pooling,params
A00_v1_reference,,subject_v1,all,catboost,1.0,all,anova,1.0,0,mean,{}
A01_physiology,A00_v1_reference,subject_v1,physiology,catboost,1.0,all,anova,1.0,0,mean,{}
A02_no_quality,A00_v1_reference,subject_v1,no_quality,catboost,1.0,all,anova,1.0,0,mean,{}
A03_no_vendor,A00_v1_reference,subject_v1,no_vendor,catboost,1.0,all,anova,1.0,0,mean,{}
A04_no_coupling,A00_v1_reference,subject_v1,no_coupling,catboost,1.0,all,anova,1.0,0,mean,{}
A05_activity,A00_v1_reference,subject_v1,activity,catboost,1.0,all,anova,1.0,0,mean,{}
A06_sleep,A00_v1_reference,subject_v1,sleep,catboost,1.0,all,anova,1.0,0,mean,{}
A07_enhanced,A00_v1_reference,subject_plus,all,catboost,1.0,all,anova,1.0,0,mean,{}
A08_top100,A07_enhanced,subject_plus,all,catboost,1.0,100,anova,1.0,0,mean,{}
A09_top50,A07_enhanced,subject_plus,all,catboost,1.0,50,anova,1.0,0,mean,{}
A10_corr095,A08_top100,subject_plus,all,catboost,1.0,100,anova,0.95,0,mean,{}
A11_window14,A08_top100,window14,all,catboost,1.0,100,anova,1.0,0,mean,{}
A12_window28,A08_top100,window28,all,catboost,1.0,100,anova,1.0,0,mean,{}
A13_window14_geometric,A11_window14,window14,all,catboost,1.0,100,anova,1.0,0,geometric,{}
A14_unweighted_classes,A08_top100,subject_plus,all,catboost,0.0,100,anova,1.0,0,mean,{}
A15_sqrt_balance,A08_top100,subject_plus,all,catboost,0.5,100,anova,1.0,0,mean,{}
A16_logreg,A08_top100,subject_plus,all,logreg,1.0,100,anova,1.0,0,mean,{}
A17_svm,A08_top100,subject_plus,all,svm,1.0,100,anova,1.0,0,mean,{}
A18_extratrees,A08_top100,subject_plus,all,extratrees,1.0,100,anova,1.0,0,mean,{}
A19_randomforest,A08_top100,subject_plus,all,randomforest,1.0,100,anova,1.0,0,mean,{}
A20_histgb,A08_top100,subject_plus,all,histgb,1.0,100,anova,1.0,0,mean,{}
A21_lda,A08_top100,subject_plus,all,lda,1.0,100,anova,1.0,0,mean,{}
A22_gaussian_nb,A08_top100,subject_plus,all,gaussian_nb,1.0,100,anova,1.0,0,mean,{}
A23_hier_catboost,A08_top100,subject_plus,all,hier_catboost,1.0,100,anova,1.0,0,mean,{}
A24_hier_logreg,A08_top100,subject_plus,all,hier_logreg,1.0,100,anova,1.0,0,mean,{}
A25_svm_pca25,A17_svm,subject_plus,all,svm,1.0,100,anova,1.0,25,mean,{}
A26_mutual_info,A08_top100,subject_plus,all,catboost,1.0,100,mutual_info,1.0,0,mean,{}
