feature,modality,family,description,kind
activity__average_met__median,activity,physiology,activity_average_met; across days median,v2
activity__average_met__iqr,activity,physiology,activity_average_met; across days iqr,v2
activity__average_met__p10,activity,physiology,activity_average_met; across days p10,v2
activity__average_met__p90,activity,physiology,activity_average_met; across days p90,v2
activity__average_met__missing_fraction,activity,quality,activity_average_met; daily missing fraction,v2
activity__cal_active__median,activity,physiology,activity_cal_active; across days median,v2
activity__cal_active__iqr,activity,physiology,activity_cal_active; across days iqr,v2
activity__cal_active__p10,activity,physiology,activity_cal_active; across days p10,v2
activity__cal_active__p90,activity,physiology,activity_cal_active; across days p90,v2
activity__cal_active__missing_fraction,activity,quality,activity_cal_active; daily missing fraction,v2
activity__cal_total__median,activity,physiology,activity_cal_total; across days median,v2
activity__cal_total__iqr,activity,physiology,activity_cal_total; across days iqr,v2
activity__cal_total__p10,activity,physiology,activity_cal_total; across days p10,v2
activity__cal_total__p90,activity,physiology,activity_cal_total; across days p90,v2
activity__cal_total__missing_fraction,activity,quality,activity_cal_total; daily missing fraction,v2
activity__daily_movement__median,activity,physiology,activity_daily_movement; across days median,v2
activity__daily_movement__iqr,activity,physiology,activity_daily_movement; across days iqr,v2
activity__daily_movement__p10,activity,physiology,activity_daily_movement; across days p10,v2
activity__daily_movement__p90,activity,physiology,activity_daily_movement; across days p90,v2
activity__daily_movement__missing_fraction,activity,quality,activity_daily_movement; daily missing fraction,v2
activity__high__median,activity,physiology,activity_high; across days median,v2
activity__high__iqr,activity,physiology,activity_high; across days iqr,v2
activity__high__p10,activity,physiology,activity_high; across days p10,v2
activity__high__p90,activity,physiology,activity_high; across days p90,v2
activity__high__missing_fraction,activity,quality,activity_high; daily missing fraction,v2
activity__inactive__median,activity,physiology,activity_inactive; across days median,v2
activity__inactive__iqr,activity,physiology,activity_inactive; across days iqr,v2
activity__inactive__p10,activity,physiology,activity_inactive; across days p10,v2
activity__inactive__p90,activity,physiology,activity_inactive; across days p90,v2
activity__inactive__missing_fraction,activity,quality,activity_inactive; daily missing fraction,v2
activity__inactivity_alerts__median,activity,physiology,activity_inactivity_alerts; across days median,v2
activity__inactivity_alerts__iqr,activity,physiology,activity_inactivity_alerts; across days iqr,v2
activity__inactivity_alerts__p10,activity,physiology,activity_inactivity_alerts; across days p10,v2
activity__inactivity_alerts__p90,activity,physiology,activity_inactivity_alerts; across days p90,v2
activity__inactivity_alerts__missing_fraction,activity,quality,activity_inactivity_alerts; daily missing fraction,v2
activity__low__median,activity,physiology,activity_low; across days median,v2
activity__low__iqr,activity,physiology,activity_low; across days iqr,v2
activity__low__p10,activity,physiology,activity_low; across days p10,v2
activity__low__p90,activity,physiology,activity_low; across days p90,v2
activity__low__missing_fraction,activity,quality,activity_low; daily missing fraction,v2
activity__medium__median,activity,physiology,activity_medium; across days median,v2
activity__medium__iqr,activity,physiology,activity_medium; across days iqr,v2
activity__medium__p10,activity,physiology,activity_medium; across days p10,v2
activity__medium__p90,activity,physiology,activity_medium; across days p90,v2
activity__medium__missing_fraction,activity,quality,activity_medium; daily missing fraction,v2
activity__met_min_high__median,activity,physiology,activity_met_min_high; across days median,v2
activity__met_min_high__iqr,activity,physiology,activity_met_min_high; across days iqr,v2
activity__met_min_high__p10,activity,physiology,activity_met_min_high; across days p10,v2
activity__met_min_high__p90,activity,physiology,activity_met_min_high; across days p90,v2
activity__met_min_high__missing_fraction,activity,quality,activity_met_min_high; daily missing fraction,v2
activity__met_min_inactive__median,activity,physiology,activity_met_min_inactive; across days median,v2
activity__met_min_inactive__iqr,activity,physiology,activity_met_min_inactive; across days iqr,v2
activity__met_min_inactive__p10,activity,physiology,activity_met_min_inactive; across days p10,v2
activity__met_min_inactive__p90,activity,physiology,activity_met_min_inactive; across days p90,v2
activity__met_min_inactive__missing_fraction,activity,quality,activity_met_min_inactive; daily missing fraction,v2
activity__met_min_low__median,activity,physiology,activity_met_min_low; across days median,v2
activity__met_min_low__iqr,activity,physiology,activity_met_min_low; across days iqr,v2
activity__met_min_low__p10,activity,physiology,activity_met_min_low; across days p10,v2
activity__met_min_low__p90,activity,physiology,activity_met_min_low; across days p90,v2
activity__met_min_low__missing_fraction,activity,quality,activity_met_min_low; daily missing fraction,v2
activity__met_min_medium__median,activity,physiology,activity_met_min_medium; across days median,v2
activity__met_min_medium__iqr,activity,physiology,activity_met_min_medium; across days iqr,v2
activity__met_min_medium__p10,activity,physiology,activity_met_min_medium; across days p10,v2
activity__met_min_medium__p90,activity,physiology,activity_met_min_medium; across days p90,v2
activity__met_min_medium__missing_fraction,activity,quality,activity_met_min_medium; daily missing fraction,v2
activity__non_wear__median,activity,quality,activity_non_wear; across days median,v2
activity__non_wear__iqr,activity,quality,activity_non_wear; across days iqr,v2
activity__non_wear__p10,activity,quality,activity_non_wear; across days p10,v2
activity__non_wear__p90,activity,quality,activity_non_wear; across days p90,v2
activity__non_wear__missing_fraction,activity,quality,activity_non_wear; daily missing fraction,v2
activity__rest__median,activity,physiology,activity_rest; across days median,v2
activity__rest__iqr,activity,physiology,activity_rest; across days iqr,v2
activity__rest__p10,activity,physiology,activity_rest; across days p10,v2
activity__rest__p90,activity,physiology,activity_rest; across days p90,v2
activity__rest__missing_fraction,activity,quality,activity_rest; daily missing fraction,v2
activity__score__median,activity,vendor,activity_score; across days median,v2
activity__score__iqr,activity,vendor,activity_score; across days iqr,v2
activity__score__p10,activity,vendor,activity_score; across days p10,v2
activity__score__p90,activity,vendor,activity_score; across days p90,v2
activity__score__missing_fraction,activity,quality,activity_score; daily missing fraction,v2
activity__score_meet_daily_targets__median,activity,vendor,activity_score_meet_daily_targets; across days median,v2
activity__score_meet_daily_targets__iqr,activity,vendor,activity_score_meet_daily_targets; across days iqr,v2
activity__score_meet_daily_targets__p10,activity,vendor,activity_score_meet_daily_targets; across days p10,v2
activity__score_meet_daily_targets__p90,activity,vendor,activity_score_meet_daily_targets; across days p90,v2
activity__score_meet_daily_targets__missing_fraction,activity,quality,activity_score_meet_daily_targets; daily missing fraction,v2
activity__score_move_every_hour__median,activity,vendor,activity_score_move_every_hour; across days median,v2
activity__score_move_every_hour__iqr,activity,vendor,activity_score_move_every_hour; across days iqr,v2
activity__score_move_every_hour__p10,activity,vendor,activity_score_move_every_hour; across days p10,v2
activity__score_move_every_hour__p90,activity,vendor,activity_score_move_every_hour; across days p90,v2
activity__score_move_every_hour__missing_fraction,activity,quality,activity_score_move_every_hour; daily missing fraction,v2
activity__score_recovery_time__median,activity,vendor,activity_score_recovery_time; across days median,v2
activity__score_recovery_time__iqr,activity,vendor,activity_score_recovery_time; across days iqr,v2
activity__score_recovery_time__p10,activity,vendor,activity_score_recovery_time; across days p10,v2
activity__score_recovery_time__p90,activity,vendor,activity_score_recovery_time; across days p90,v2
activity__score_recovery_time__missing_fraction,activity,quality,activity_score_recovery_time; daily missing fraction,v2
activity__score_stay_active__median,activity,vendor,activity_score_stay_active; across days median,v2
activity__score_stay_active__iqr,activity,vendor,activity_score_stay_active; across days iqr,v2
activity__score_stay_active__p10,activity,vendor,activity_score_stay_active; across days p10,v2
activity__score_stay_active__p90,activity,vendor,activity_score_stay_active; across days p90,v2
activity__score_stay_active__missing_fraction,activity,quality,activity_score_stay_active; daily missing fraction,v2
activity__score_training_frequency__median,activity,vendor,activity_score_training_frequency; across days median,v2
activity__score_training_frequency__iqr,activity,vendor,activity_score_training_frequency; across days iqr,v2
activity__score_training_frequency__p10,activity,vendor,activity_score_training_frequency; across days p10,v2
activity__score_training_frequency__p90,activity,vendor,activity_score_training_frequency; across days p90,v2
activity__score_training_frequency__missing_fraction,activity,quality,activity_score_training_frequency; daily missing fraction,v2
activity__score_training_volume__median,activity,vendor,activity_score_training_volume; across days median,v2
activity__score_training_volume__iqr,activity,vendor,activity_score_training_volume; across days iqr,v2
activity__score_training_volume__p10,activity,vendor,activity_score_training_volume; across days p10,v2
activity__score_training_volume__p90,activity,vendor,activity_score_training_volume; across days p90,v2
activity__score_training_volume__missing_fraction,activity,quality,activity_score_training_volume; daily missing fraction,v2
activity__steps__median,activity,physiology,activity_steps; across days median,v2
activity__steps__iqr,activity,physiology,activity_steps; across days iqr,v2
activity__steps__p10,activity,physiology,activity_steps; across days p10,v2
activity__steps__p90,activity,physiology,activity_steps; across days p90,v2
activity__steps__missing_fraction,activity,quality,activity_steps; daily missing fraction,v2
activity__total__median,activity,physiology,activity_total; across days median,v2
activity__total__iqr,activity,physiology,activity_total; across days iqr,v2
activity__total__p10,activity,physiology,activity_total; across days p10,v2
activity__total__p90,activity,physiology,activity_total; across days p90,v2
activity__total__missing_fraction,activity,quality,activity_total; daily missing fraction,v2
activity__state_code_0_fraction__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_fraction; across days median,v2
activity__state_code_0_fraction__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_fraction; across days iqr,v2
activity__state_code_0_fraction__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_fraction; across days p10,v2
activity__state_code_0_fraction__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_fraction; across days p90,v2
activity__state_code_0_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_0_fraction; daily missing fraction,v2
activity__state_code_0_longest_minutes__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_longest_minutes; across days median,v2
activity__state_code_0_longest_minutes__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_longest_minutes; across days iqr,v2
activity__state_code_0_longest_minutes__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_longest_minutes; across days p10,v2
activity__state_code_0_longest_minutes__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_0_longest_minutes; across days p90,v2
activity__state_code_0_longest_minutes__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_0_longest_minutes; daily missing fraction,v2
activity__state_code_1_fraction__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_fraction; across days median,v2
activity__state_code_1_fraction__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_fraction; across days iqr,v2
activity__state_code_1_fraction__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_fraction; across days p10,v2
activity__state_code_1_fraction__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_fraction; across days p90,v2
activity__state_code_1_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_1_fraction; daily missing fraction,v2
activity__state_code_1_longest_minutes__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_longest_minutes; across days median,v2
activity__state_code_1_longest_minutes__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_longest_minutes; across days iqr,v2
activity__state_code_1_longest_minutes__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_longest_minutes; across days p10,v2
activity__state_code_1_longest_minutes__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_1_longest_minutes; across days p90,v2
activity__state_code_1_longest_minutes__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_1_longest_minutes; daily missing fraction,v2
activity__state_code_2_fraction__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_fraction; across days median,v2
activity__state_code_2_fraction__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_fraction; across days iqr,v2
activity__state_code_2_fraction__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_fraction; across days p10,v2
activity__state_code_2_fraction__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_fraction; across days p90,v2
activity__state_code_2_fraction__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_2_fraction; daily missing fraction,v2
activity__state_code_2_longest_minutes__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_longest_minutes; across days median,v2
activity__state_code_2_longest_minutes__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_longest_minutes; across days iqr,v2
activity__state_code_2_longest_minutes__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_longest_minutes; across days p10,v2
activity__state_code_2_longest_minutes__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_2_longest_minutes; across days p90,v2
activity__state_code_2_longest_minutes__missing_fraction,activity,quality,CONVERT(activity_class_5min USING utf8): code_2_longest_minutes; daily missing fraction,v2
activity__state_code_3_fraction__median,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_fraction; across days median,v2
activity__state_code_3_fraction__iqr,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_fraction; across days iqr,v2
activity__state_code_3_fraction__p10,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_fraction; across days p10,v2
activity__state_code_3_fraction__p90,activity,physiology,CONVERT(activity_class_5min USING utf8): code_3_fraction; across days p90,v2
